time, ch1, ch2, ch3, ch4, ch5, ch6, ch7
2.377149963378906250e+02, 3.756000061035156250e+02, 5.745410156250000000e+01, 2.291968841552734375e+02, 4.920901107788085938e+01, 1.518929901123046875e+02, 2.857109069824218750e+02, 1.921121520996093750e+02, 0.000000000000000000e+00
2.377183380126953125e+02, 3.795000000000000000e+02, 5.476094055175781250e+01, 2.291968841552734375e+02, 4.590840530395507812e+01, 1.452758636474609375e+02, 2.803200988769531250e+02, 1.963015136718750000e+02, 0.000000000000000000e+00
2.377216644287109375e+02, 3.773999938964843750e+02, 5.446170043945312500e+01, 2.303937377929687500e+02, 4.620846176147460938e+01, 1.467797546386718750e+02, 2.797211608886718750e+02, 1.989946746826171875e+02, 0.000000000000000000e+00
2.377250061035156250e+02, 3.782999877929687500e+02, 4.937461853027343750e+01, 2.277008209228515625e+02, 4.470818710327148438e+01, 1.362525177001953125e+02, 2.764267883300781250e+02, 2.016878356933593750e+02, 0.000000000000000000e+00
2.377283325195312500e+02, 3.758999938964843750e+02, 4.488601684570312500e+01, 2.265039825439453125e+02, 4.710862350463867188e+01, 1.347486267089843750e+02, 2.740308837890625000e+02, 2.022863159179687500e+02, 0.000000000000000000e+00
2.377316741943359375e+02, 3.816000061035156250e+02, 5.146929931640625000e+01, 2.396693267822265625e+02, 5.731048965454101562e+01, 1.458774261474609375e+02, 2.952944641113281250e+02, 2.070741577148437500e+02, 0.000000000000000000e+00
2.377350006103515625e+02, 3.780000000000000000e+02, 5.266625976562500000e+01, 2.351811370849609375e+02, 5.340977859497070312e+01, 1.461782073974609375e+02, 2.943960266113281250e+02, 2.106650390625000000e+02, 0.000000000000000000e+00
2.377383270263671875e+02, 3.788999938964843750e+02, 5.206777954101562500e+01, 2.336850738525390625e+02, 5.701043701171875000e+01, 1.428696441650390625e+02, 2.908021545410156250e+02, 2.055779571533203125e+02, 0.000000000000000000e+00
2.377416687011718750e+02, 3.807000122070312500e+02, 4.877613830566406250e+01, 2.366772003173828125e+02, 6.031103897094726562e+01, 1.419673156738281250e+02, 2.890052490234375000e+02, 2.064756774902343750e+02, 0.000000000000000000e+00
2.377449951171875000e+02, 3.732000122070312500e+02, 4.009817504882812500e+01, 2.291968841552734375e+02, 5.731048965454101562e+01, 1.413657531738281250e+02, 2.857109069824218750e+02, 2.040817565917968750e+02, 0.000000000000000000e+00
2.377483367919921875e+02, 3.593999938964843750e+02, 3.052249145507812500e+01, 2.196220855712890625e+02, 5.611027145385742188e+01, 1.413657531738281250e+02, 2.806195983886718750e+02, 1.939075927734375000e+02, 0.000000000000000000e+00
2.377516632080078125e+02, 3.617999877929687500e+02, 3.560957336425781250e+01, 2.160315399169921875e+02, 5.250961303710937500e+01, 1.407641906738281250e+02, 2.710360107421875000e+02, 1.942068328857421875e+02, 0.000000000000000000e+00
2.377550048828125000e+02, 3.732000122070312500e+02, 3.590881347656250000e+01, 2.133386077880859375e+02, 4.170763778686523438e+01, 1.314400787353515625e+02, 2.680411376953125000e+02, 1.948053131103515625e+02, 0.000000000000000000e+00
2.377583312988281250e+02, 3.630000000000000000e+02, 3.890121459960937500e+00, 2.070551605224609375e+02, 3.780691909790039062e+01, 1.281315155029296875e+02, 2.659447326660156250e+02, 1.828357086181640625e+02, 0.000000000000000000e+00
